,user,text,polarity
0,MarkHodder3,@JoeBiden And we’ll find out who won in 2026...,"Sentiment(polarity=0.0, subjectivity=0.0)"
1,K87327961G,@JoeBiden Your Democratic Nazi Party cannot be trusted https://t.co/boNiI0vjL0,"Sentiment(polarity=0.0, subjectivity=0.0)"
2,OldlaceA,@JoeBiden So did Lying Barr,"Sentiment(polarity=0.0, subjectivity=0.0)"
3,penblogger,@JoeBiden It's clear you didnt compose this tweet. You cant put ONE sentence together and they usually last 10 minutes.,"Sentiment(polarity=0.049999999999999996, subjectivity=0.22499999999999998)"
4,Aquarian0264,@JoeBiden I will vote in person thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)"
5,FabrizioBenass4,@JoeBiden #ALL LIVES MATTER #HUMAN RIGHTS HELP FOR YOUNG MATTEO BENASSI FOR HUMAN RIGHTS FROM ITALY/EUROPE..A PRERO… https://t.co/M94qYHUUs4,"Sentiment(polarity=0.03333333333333333, subjectivity=0.19999999999999998)"
6,motter_sue,@JoeBiden @JustVent6 As if you kno how he voted!!,"Sentiment(polarity=0.0, subjectivity=0.0)"
7,sandraanne324,@JoeBiden Looks like your not they only sleepy Democrat Joe.  https://t.co/nDnpuWuRFX,"Sentiment(polarity=0.0, subjectivity=1.0)"
8,pepvet,"@JoeBiden @PleaseJustDoNot Youre son benefitted from your being VP, we should have, too, but we never did.","Sentiment(polarity=0.0, subjectivity=0.0)"
9,LauraD1216,@JoeBiden https://t.co/52hTK0IqOj,"Sentiment(polarity=0.0, subjectivity=0.0)"
10,palaro2017,@JoeBiden Voter ID is required otherwise you Democrats will cheat..its been proven.  Have some integrity !,"Sentiment(polarity=0.0, subjectivity=0.0)"
11,GeneEmerick68,@JoeBiden Scared to debate?,"Sentiment(polarity=0.0, subjectivity=0.0)"
12,JGarka,"@JoeBiden You would approve, its only way you could beat Pres Trump!!","Sentiment(polarity=0.0, subjectivity=1.0)"
13,candyisyummy333,@JoeBiden My standard reply to propaganda: https://t.co/Skq4oY6mhE,"Sentiment(polarity=-0.05, subjectivity=0.05)"
14,5h0rtie,"@JoeBiden @richardmarx Trouble is trump voted for :- person , woman , man , camera , TV . . .","Sentiment(polarity=-0.2, subjectivity=0.2)"
15,shut_up_stewart,@JoeBiden I honestly cannot comprehend how a country as important as the USA can fuck up its election system so bad… https://t.co/JmYf7HjQ4w,"Sentiment(polarity=0.19999999999999998, subjectivity=0.8333333333333334)"
16,2think4reals,@JoeBiden Why?,"Sentiment(polarity=0.0, subjectivity=0.0)"
17,goVoteTrump,@JoeBiden He also runs his own Twitter. You should be able to as well.,"Sentiment(polarity=0.55, subjectivity=0.8125)"
18,rollyr,@JoeBiden If you are absent. Hence “absentee” ballots.,"Sentiment(polarity=0.0, subjectivity=0.0)"
19,GeneEmerick68,"@JoeBiden Right, 4more years of Donald J Trump","Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)"
20,lancehashtags,@JoeBiden https://t.co/0VTiANt7MY,"Sentiment(polarity=0.0, subjectivity=0.0)"
21,Belleamewithtia,@JoeBiden Why? So you can rig the election like you did 2016? Look how that worked out for y’all!,"Sentiment(polarity=0.0, subjectivity=0.0)"
22,magatweetpolice,@JoeBiden Old man you're afraid and incapable of debating Trump on any live stage.  Your handlers let you out once… https://t.co/9UI4y67LA8,"Sentiment(polarity=-0.12121212121212122, subjectivity=0.5333333333333333)"
23,RabbitEaster1,"@JoeBiden BS… He’s the president… That doesn’t mean I should. Try to run three sentences together that actually makes sense, dementia Joe.","Sentiment(polarity=-0.15625, subjectivity=0.39375)"
