,user,text,polarity
0,manny_rosen, @sanofi please tell us how many shares the Criminal Trump Enterprise owns.,"Sentiment(polarity=0.04999999999999999, subjectivity=0.525)"
1,osi_abdul," https://t.co/atM98CpqF7  Like, comment, RT #Prayer4TachaNTitans #Prayer4TachaNTitans","Sentiment(polarity=0.0, subjectivity=0.0)"
2,Patsyrw, Your AG Barr is as useless &amp; corrupt as you are     Rep. Pramila Jayapal #SheGotItRight,"Sentiment(polarity=-0.5, subjectivity=0.6)"
3,seyedebrahimi_m, Mr. Trump! Wake Up!  Most of the comments below your tweets are nothing but cartoons and ridicule!… https://t.co/ZboyK43K9M,"Sentiment(polarity=0.5, subjectivity=0.5)"
4,James09254677, After 4 years you think you would have figured out your horrendous spray tan situation,"Sentiment(polarity=0.0, subjectivity=0.0)"
5,IndependentsDo,  You lie to lie to cover up a lie to cover up the lie you just lied about.,"Sentiment(polarity=0.0, subjectivity=0.0)"
6,curtiswhitworth, Really? My prices have gone up. That’s a fact.,"Sentiment(polarity=0.2, subjectivity=0.2)"
7,shayked5777," Don, you are delusion.  Someone needs to invoke the Baker Act and stop you from harming people with your insanity.","Sentiment(polarity=0.0, subjectivity=0.0)"
8,CantStandya2018, How much on stocks have you made pushing miracle covid drugs? Cha ching. I am sure you make plenty on stocks of all kinds.,"Sentiment(polarity=0.35, subjectivity=0.5444444444444444)"
9,Chris09704800, https://t.co/MsPqMjxUpk,"Sentiment(polarity=0.0, subjectivity=0.0)"
10,npzh, No president would be able to destroy as you have,"Sentiment(polarity=0.15, subjectivity=0.3125)"
11,Chris09704800, https://t.co/uP4nDEL0mK,"Sentiment(polarity=0.0, subjectivity=0.0)"
12,CantStandya2018, Most corrupt mother clucker ever to sit in the oval. Makes Watergate look like a garden party,"Sentiment(polarity=0.0, subjectivity=0.75)"
13,seriouslyfit, A script I turned down was over $100.00,"Sentiment(polarity=-0.15555555555555556, subjectivity=0.2888888888888889)"
14,socratesnurse, https://t.co/RqkD9JDrBv,"Sentiment(polarity=0.0, subjectivity=0.0)"
15,DeniseDunham9," Lies, lies, lies.. https://t.co/pMfA31RMJU","Sentiment(polarity=0.0, subjectivity=0.0)"
16,SeeMcMills, Yeah Donald we all know you're the only president in years that's done anything. Shove it where th… https://t.co/IMvVlkjPTz,"Sentiment(polarity=0.0, subjectivity=1.0)"
17,MadeBees," Except this isnt true. You allowed Americans to get drugs from overseas, not control prices here.… https://t.co/IO2i8vwkGQ","Sentiment(polarity=0.35, subjectivity=0.65)"
18,EliseViksaas, The ratio here is truly epic.  And so deserved.,"Sentiment(polarity=0.1, subjectivity=0.4)"
19,MaryMeliz99, ???????Every one is wrong but you .. cry baby,"Sentiment(polarity=-0.5, subjectivity=0.9)"
